serial_code,name,organization
test111,Krishna Sarkar,BITS Pilani
test112,Tanvi Das,IIT Hyderabad
test113,Akshara Shetty,IIT Madras
test114,Pallavi Mukherjee,BITS Pilani
test115,Kavya Sharma,IIT Roorkee
test116,Ananya Iyer,IIT Gandhinagar
test117,Apoorva Saxena,IIT Ropar
test118,Darshan Patel,IIT Patna
test119,Diya Khan,IIT Roorkee
test120,Rajesh Iyer,IIT Roorkee
test121,Lakshmi Kulkarni,IIT Kanpur
test122,Aditi Verma,IIT Patna
test123,Chetan Ali,IIT Ropar
test124,Akash Choudhary,IIT Patna
test125,Madhav Ansari,IIT Gandhinagar
test126,Lakshmi Saxena,NIT Warangal
test127,Arjun Jain,IIT Kanpur
test128,Chetan Agarwal,IIT Ropar
test129,Gaurav Pillai,NIT Trichy
test130,Srinivas Tripathi,IIT BHU
test131,Rekha Banerjee,IIT Kharagpur
test132,Abhinav Roy,IIT BHU
test133,Nisha Yadav,IIT Bombay
test134,Pallavi Ghosh,IIT Guwahati
test135,Deepa Ali,IIT Jodhpur
test136,Akshara Banerjee,NIT Warangal
test137,Gaurav Hegde,IIT Bombay
test138,Bharat Tripathi,IIT Delhi
test139,Shubham Ansari,BITS Pilani
test140,Anjali Varma,IIT BHU
test141,Kavya Nair,IIT Delhi
test142,Rohan Thakur,IIT Kharagpur
test143,Nithya Mukherjee,IIT Gandhinagar
test144,Girish Choudhary,IIT Jodhpur
test145,Deepak Rao,IIT Roorkee
test146,Krishna Shah,NIT Surathkal
test147,Mohan Das,IIT Kharagpur
test148,Isha Gupta,IIT Indore
test149,Ravi Roy,IIT Madras
test150,Bhavya Kapoor,IIT Indore
test151,Dhanush Khan,IIT BHU
test152,Dhruv Biswas,IIT Patna
test153,Rohan Singh,IIT Indore
test154,Tejas Mishra,IIT Ropar
test155,Gaurav Jain,IIT BHU
test156,Rohan Das,IIIT Hyderabad
test157,Karan Sarkar,IIT Delhi
test158,Madhav Sinha,IIT BHU
test159,Manoj Malhotra,IIT BHU
test160,Rashmi Mishra,IIT Madras
test161,Bharat Verma,IIT Guwahati
test162,Dhanush Patel,IIT Roorkee
test163,Varun Menon,IIT Jodhpur
test164,Aditya Patel,IIT Guwahati
test165,Hemanth Roy,NIT Warangal
test166,Varun Agarwal,IIT Kanpur
test167,Divya Biswas,IIT Kharagpur
test168,Rajesh Malhotra,IISc Bangalore
test169,Jatin Tripathi,IIT Guwahati
test170,Aniket Thakur,IIT Kanpur
test171,Zoya Chowdary,IIT Delhi
test172,Diya Malhotra,NIT Warangal
test173,Yash Sarkar,NIT Surathkal
test174,Vivek Pandey,NIT Warangal
test175,Sanjay Dutta,IIT BHU
test176,Rakesh Naidu,IIT Madras
test177,Yash Naidu,IIT Patna
test178,Aditi Naidu,IIIT Hyderabad
test179,Sakshi Tripathi,IIT Roorkee
test180,Aarav Tripathi,IIT Kanpur
test181,Nikhil Varma,IIT Patna
test182,Sneha Sharma,IIT Indore
test183,Tarun Joshi,IIT Jodhpur
test184,Varun Mishra,IIT Bombay
test185,Srinivas Khan,BITS Pilani
test186,Esha Jain,IIT Delhi
test187,Raghav Kapoor,IIT Gandhinagar
test188,Meera Naidu,NIT Warangal
test189,Rekha Chatterjee,IISc Bangalore
test190,Jatin Sarkar,IIT Kanpur
test191,Sanika Tripathi,IIT Kanpur
test192,Sakshi Choudhary,NIT Surathkal
test193,Lakshmi Naidu,IIT Patna
test194,Arjun Bose,IIT BHU
test195,Sanika Dutta,NIT Warangal
test196,Naveen Das,IISc Bangalore
test197,Pavan Biswas,IIT Patna
test198,Sanjay Pillai,IIT Bombay
test199,Mithun Prasad,IIT Kanpur
test200,Arjun Gupta,IIT Indore
test201,Sneha Jain,IIT Gandhinagar
test202,Aryan Sinha,IIT Jodhpur
test203,Sachin Dutta,IIT Ropar
test204,Aditi Iyer,IIT Hyderabad
test205,Diya Chowdary,IIT Jodhpur
test206,Indira Chatterjee,IIT Kharagpur
test207,Nisha Mishra,IISc Bangalore
test208,Chetan Bose,IIT Gandhinagar
test209,Dhanush Pillai,IIT Gandhinagar
test210,Yash Pillai,NIT Trichy
test211,Nithya Dutta,NIT Trichy
test212,Manish Ansari,IIT Kharagpur
test213,Jahnavi Saxena,IIT Bombay
test214,Vivek Prasad,NIT Warangal
test215,Keerthi Kumar,NIT Surathkal
test216,Keerthi Bhat,IIT Bombay
test217,Maya Sinha,IIT Kharagpur
test218,Raghav Thakur,IISc Bangalore
test219,Sameer Ansari,IIT Indore
test220,Harish Bose,IIT Jodhpur
test221,Mahima Patel,IIT Roorkee
test222,Preethi Bose,IIT Bombay
test223,Preethi Pandey,NIT Warangal
test224,Shubham Malhotra,IIT Patna
test225,Harish Naidu,IIT Guwahati
test226,Arjun Dutta,IIT Roorkee
test227,Maya Chatterjee,IIT Patna
test228,Varun Naidu,IIT Gandhinagar
test229,Bharat Kulkarni,NIT Warangal
test230,Pooja Iyer,NIT Surathkal
test231,Bharat Roy,IIT Indore
test232,Arjun Malhotra,IIT Kanpur
test233,Tejas Sharma,IIT Jodhpur
test234,Sameer Bose,IIT Indore
test235,Pooja Shah,IIT Indore
test236,Rajesh Joshi,IIT BHU
test237,Sakshi Singh,NIT Trichy
test238,Harish Mukherjee,IISc Bangalore
test239,Gaurav Khan,IIT Indore
test240,Pallavi Krishnan,NIT Trichy
test241,Monika Choudhary,IIIT Hyderabad
test242,Pooja Singh,IIT Kanpur
test243,Bharat Agarwal,IIT Madras
test244,Rekha Mehta,IIT Bombay
test245,Ashwin Saxena,IIT Delhi
test246,Esha Kapoor,IIT Indore
test247,Hemanth Kapoor,IIT Kharagpur
test248,Swati Krishnan,IIT Kanpur
test249,Ramya Rao,IIT Kharagpur
test250,Rakesh Nair,IIT Jodhpur
test251,Rajesh Chowdary,NIT Warangal
test252,Diya Bhat,IIT Guwahati
test253,Akshara Bose,IIT Bombay
test254,Maya Tripathi,IIT Ropar
test255,Sanika Kapoor,IIT Kharagpur
test256,Aarav Sarkar,IIIT Hyderabad
test257,Rajesh Verma,BITS Pilani
test258,Ananya Pandey,IIT Madras
test259,Pooja Mukherjee,NIT Trichy
test260,Dev Roy,NIT Warangal
test261,Srinivas Prasad,NIT Trichy
test262,Sameer Saxena,IIT Roorkee
test263,Madhav Pandey,NIT Warangal
test264,Dev Malhotra,IIT Delhi
test265,Swati Menon,IIT Bombay
test266,Keerthi Yadav,IIT Jodhpur
test267,Varun Bose,IIT Roorkee
test268,Girish Sinha,IIT Patna
test269,Neha Naidu,IIT Bombay
test270,Rashmi Desai,IIT Delhi
test271,Mahima Mishra,NIT Warangal
test272,Swati Kumar,IIT Roorkee
test273,Manish Kumar,IIT Delhi
test274,Neha Rao,IIT Indore
test275,Lakshmi Yadav,IIT Indore
test276,Sneha Biswas,IIT Roorkee
test277,Aniket Mishra,IIT Indore
test278,Aditi Sharma,IIT Kanpur
test279,Anjali Yadav,NIT Warangal
test280,Isha Jain,IIT BHU
test281,Yash Saxena,NIT Trichy
test282,Meera Saxena,IIT Delhi
test283,Priya Kumar,IIT Bombay
test284,Esha Sarkar,NIT Trichy
test285,Zoya Pandey,IIT Patna
test286,Rekha Ansari,IIT Indore
test287,Ashwin Mukherjee,IIT Bombay
test288,Divya Banerjee,BITS Pilani
test289,Yash Dutta,IIIT Hyderabad
test290,Harish Menon,NIT Warangal
test291,Manoj Pillai,IIT Jodhpur
test292,Nikhil Menon,IIT Kharagpur
test293,Swati Varma,IIT Patna
test294,Sneha Pandey,IIIT Hyderabad
test295,Nithya Ansari,IIT BHU
test296,Deepa Sharma,IIT Hyderabad
test297,Anjali Saxena,IIT Madras
test298,Ananya Menon,IIT Guwahati
test299,Zoya Bose,IIT Bombay
test300,Lakshmi Iyer,IIT Madras
test301,Kavya Pillai,IIT Gandhinagar
test302,Esha Hegde,BITS Pilani
test303,Aarav Singh,IIT Bombay
test304,Lalith Hegde,IIT BHU
test305,Neha Sinha,IIIT Hyderabad
test306,Rahul Hegde,IIIT Hyderabad
test307,Akshara Biswas,IIT Gandhinagar
test308,Akshara Tripathi,IIT Roorkee
test309,Dev Biswas,IIIT Hyderabad
test310,Ananya Ghosh,IIIT Hyderabad
test311,Isha Banerjee,NIT Trichy
test312,Nisha Naidu,NIT Warangal
test313,Aryan Joshi,IIT Ropar
test314,Esha Rao,IIT Hyderabad
test315,Aarav Iyer,IIT Indore
test316,Pallavi Prasad,IIT Madras
test317,Arjun Mishra,IIT Delhi
test318,Dhanush Shetty,IIT Kanpur
test319,Yash Mehta,NIT Trichy
test320,Pavan Naidu,IIT Madras
test321,Bharat Nair,IIIT Hyderabad
test322,Manish Patel,IIT Indore
test323,Monika Patel,IIT Madras
test324,Monika Kumar,IISc Bangalore
test325,Keerthi Patel,IIT Kanpur
test326,Nandini Iyer,NIT Surathkal
test327,Srinivas Reddy,BITS Pilani
test328,Rakesh Ansari,IIT Guwahati
test329,Harish Krishnan,IIT Delhi
test330,Zoya Tripathi,BITS Pilani
test331,Nithya Mishra,BITS Pilani
test332,Lalith Pandey,IIT Ropar
test333,Dhanush Chowdary,IIT Patna
test334,Anjali Menon,IIT Indore
test335,Varun Rao,IIT Indore
test336,Krishna Kapoor,IIT Ropar
test337,Nisha Iyer,IIT Delhi
test338,Pavan Dutta,IIT Kharagpur
test339,Deepak Bose,IIT Kanpur
test340,Divya Ali,IIT Indore
test341,Navya Roy,NIT Surathkal
test342,Harish Choudhary,IIT Jodhpur
test343,Deepak Verma,IIT Ropar
test344,Sneha Ansari,NIT Trichy
test345,Sanjana Kulkarni,IIT Kharagpur
test346,Ashwin Kulkarni,IIT Madras
test347,Dhruv Gupta,IIT Bombay
test348,Maya Joshi,BITS Pilani
test349,Swati Desai,NIT Warangal
test350,Preethi Sarkar,IIT Bombay
test351,Sachin Desai,IIT Patna
test352,Esha Roy,NIT Surathkal
test353,Tanvi Dutta,IIT Kharagpur
test354,Bharat Saxena,IIT Ropar
test355,Dev Gupta,IIT Ropar
test356,Rahul Banerjee,IIT Kanpur
test357,Pallavi Roy,IIT Guwahati
test358,Hemanth Singh,IIT Guwahati
test359,Nandini Ghosh,IIT Gandhinagar
test360,Bharat Hegde,IIT Roorkee
test361,Rithika Ansari,IIT BHU
test362,Lakshmi Roy,IISc Bangalore
test363,Neha Chowdary,IIT Madras
test364,Chetan Yadav,IIT Bombay
test365,Tanvi Varma,IIT Delhi
test366,Aniket Gupta,IIT Madras
test367,Sanika Shah,IIT Ropar
test368,Vivek Biswas,IIT Kanpur
test369,Naveen Menon,NIT Surathkal
test370,Isha Mukherjee,IIT Patna
test371,Rahul Tripathi,IIT Madras
test372,Amulya Kapoor,IIIT Hyderabad
test373,Sameer Chowdary,IIT Kanpur
test374,Esha Menon,IIT Guwahati
test375,Akash Kapoor,IIT Kanpur
test376,Keerthi Agarwal,NIT Trichy
test377,Sakshi Kumar,IIT Indore
test378,Nisha Sarkar,IIT Kanpur
test379,Nithya Agarwal,BITS Pilani
test380,Deepak Singh,IIT Madras
test381,Rohan Bose,IIT Roorkee
test382,Tarun Das,IIT Delhi
test383,Dev Jain,NIT Warangal
test384,Ramya Shah,IIT Jodhpur
test385,Rekha Sarkar,IIT Ropar
test386,Ravi Tripathi,IIT Jodhpur
test387,Varun Krishnan,IIT BHU
test388,Lakshmi Desai,IIT Gandhinagar
test389,Madhav Mukherjee,BITS Pilani
test390,Sachin Krishnan,IIT Indore
test391,Keerthi Tripathi,IIT Indore
test392,Navya Pillai,IIIT Hyderabad
test393,Madhav Prasad,IISc Bangalore
test394,Esha Reddy,BITS Pilani
test395,Meera Iyer,IIT Hyderabad
test396,Sanjana Das,IIT Bombay
test397,Raghav Jain,IIT Guwahati
test398,Priya Patel,IIT BHU
test399,Sneha Shetty,IIT Ropar
test400,Nandini Bose,IIT Kharagpur
